"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1023","Playwright Document of Left side bar Verify to work copy button at writing tests sec","chromium","Sat May 02 02:18:39 UTC 2026","passed","Sat May 02 02:18:40 UTC 2026","","DocPage.spec.ts","",""
"","12440","tab practice6","chromium","Sat May 02 02:19:23 UTC 2026","passed","Sat May 02 02:19:36 UTC 2026","","iframe-test/IFrame.spec.ts","",""
"","934","Playwright Document of right side bar Verify link count to be greater than 3 at writing tests sec","chromium","Sat May 02 02:18:43 UTC 2026","passed","Sat May 02 02:18:44 UTC 2026","","DocPage.spec.ts","",""
"","1132","Playwright Document Page Verify to work report tabs","chromium","Sat May 02 02:18:25 UTC 2026","passed","Sat May 02 02:18:27 UTC 2026","","DocPage.spec.ts","",""
"","1235","Playwright Document Page Verify to work copy button at test sec","chromium","Sat May 02 02:18:34 UTC 2026","passed","Sat May 02 02:18:35 UTC 2026","","DocPage.spec.ts","",""
"","626","Playwright header training:Logo","chromium","Sat May 02 02:18:51 UTC 2026","passed","Sat May 02 02:18:51 UTC 2026","","Header.spec.ts","",""
"","1353","file upload practice1","chromium","Sat May 02 02:18:44 UTC 2026","passed","Sat May 02 02:18:46 UTC 2026","","download-test/Download.spec.ts","",""
"","817","Playwright footer training:LearnVideo","chromium","Sat May 02 02:18:48 UTC 2026","passed","Sat May 02 02:18:49 UTC 2026","","Footer.spec.ts","",""
"","1046","Playwright Document Page Verify to work version tabs","chromium","Sat May 02 02:18:29 UTC 2026","passed","Sat May 02 02:18:30 UTC 2026","","DocPage.spec.ts","",""
"","3519","API mocking practice","chromium","Sat May 02 02:18:19 UTC 2026","passed","Sat May 02 02:18:23 UTC 2026","","api-test/Api.spec.ts","",""
"","893","Playwright Document of right side bar Verify to be visible assertion link at writing tests sec","chromium","Sat May 02 02:18:41 UTC 2026","passed","Sat May 02 02:18:42 UTC 2026","","DocPage.spec.ts","",""
"","1248","Playwright Document Page Verify to work copy button at report sec","chromium","Sat May 02 02:18:32 UTC 2026","passed","Sat May 02 02:18:34 UTC 2026","","DocPage.spec.ts","",""
"","1359","Playwright Document Page Verify to work install tabs","chromium","Sat May 02 02:18:23 UTC 2026","passed","Sat May 02 02:18:24 UTC 2026","","DocPage.spec.ts","",""
"","1439","Playwright header training:Hover menu2","chromium","Sat May 02 02:18:54 UTC 2026","passed","Sat May 02 02:18:56 UTC 2026","","Header.spec.ts","",""
"","11737","iFrame practice3","chromium","Sat May 02 02:19:07 UTC 2026","passed","Sat May 02 02:19:18 UTC 2026","","iframe-test/IFrame.spec.ts","",""
"","750","Playwright header training:API","chromium","Sat May 02 02:18:52 UTC 2026","passed","Sat May 02 02:18:53 UTC 2026","","Header.spec.ts","",""
"","1273","Playwright Document Page Verify to work copy button at update sec","chromium","Sat May 02 02:18:35 UTC 2026","passed","Sat May 02 02:18:36 UTC 2026","","DocPage.spec.ts","",""
"","1194","Playwright Document Page Verify to work copy button at run sec","chromium","Sat May 02 02:18:31 UTC 2026","passed","Sat May 02 02:18:32 UTC 2026","","DocPage.spec.ts","",""
"","912","Playwright footer training:GetStarted","chromium","Sat May 02 02:18:47 UTC 2026","passed","Sat May 02 02:18:48 UTC 2026","","Footer.spec.ts","",""
"","1419","Playwright header training:Hover menu3","chromium","Sat May 02 02:18:56 UTC 2026","passed","Sat May 02 02:18:57 UTC 2026","","Header.spec.ts","",""
"","788","Playwright header training:Docs","chromium","Sat May 02 02:18:51 UTC 2026","passed","Sat May 02 02:18:52 UTC 2026","","Header.spec.ts","",""
"","1399","Playwright header training:Hover menu","chromium","Sat May 02 02:18:53 UTC 2026","passed","Sat May 02 02:18:54 UTC 2026","","Header.spec.ts","",""
"","1198","Playwright Document Page Verify to work copy button at version sec","chromium","Sat May 02 02:18:36 UTC 2026","passed","Sat May 02 02:18:37 UTC 2026","","DocPage.spec.ts","",""
"","707","Playwright footer training:isOuterLinks","chromium","Sat May 02 02:18:50 UTC 2026","passed","Sat May 02 02:18:51 UTC 2026","","Footer.spec.ts","",""
"","3687","iFrame practice2","chromium","Sat May 02 02:19:03 UTC 2026","passed","Sat May 02 02:19:07 UTC 2026","","iframe-test/IFrame.spec.ts","",""
"","1553","tab practice4","chromium","Sat May 02 02:19:18 UTC 2026","passed","Sat May 02 02:19:20 UTC 2026","","iframe-test/IFrame.spec.ts","",""
"","693","Playwright footer training:Ambassadors","chromium","Sat May 02 02:18:49 UTC 2026","passed","Sat May 02 02:18:50 UTC 2026","","Footer.spec.ts","",""
"","769","Playwright footer training:FeatureVideo","chromium","Sat May 02 02:18:49 UTC 2026","passed","Sat May 02 02:18:49 UTC 2026","","Footer.spec.ts","",""
"","971","Playwright Document of Left side bar Verify to work copy button at runnning tests sec","chromium","Sat May 02 02:18:40 UTC 2026","passed","Sat May 02 02:18:41 UTC 2026","","DocPage.spec.ts","",""
"","3586","tab practice5","chromium","Sat May 02 02:19:20 UTC 2026","passed","Sat May 02 02:19:23 UTC 2026","","iframe-test/IFrame.spec.ts","",""
"","1270","Playwright Document Page Verify to work copy button at install sec","chromium","Sat May 02 02:18:30 UTC 2026","passed","Sat May 02 02:18:31 UTC 2026","","DocPage.spec.ts","",""
"","1388","Playwright header search button","chromium","Sat May 02 02:18:59 UTC 2026","passed","Sat May 02 02:19:00 UTC 2026","","Header.spec.ts","",""
"","608","Playwright header training","chromium","Sat May 02 02:18:58 UTC 2026","passed","Sat May 02 02:18:59 UTC 2026","","Header.spec.ts","",""
"","1103","Playwright Document Page Verify to work update tabs","chromium","Sat May 02 02:18:28 UTC 2026","passed","Sat May 02 02:18:29 UTC 2026","","DocPage.spec.ts","",""
"","1009","Playwright Document Page Verify to work run tabs","chromium","Sat May 02 02:18:24 UTC 2026","passed","Sat May 02 02:18:25 UTC 2026","","DocPage.spec.ts","",""
"","1114","Playwright Document Page Verify to work test tabs","chromium","Sat May 02 02:18:27 UTC 2026","passed","Sat May 02 02:18:28 UTC 2026","","DocPage.spec.ts","",""
"","648","Playwright header training:OuterLink","chromium","Sat May 02 02:18:57 UTC 2026","passed","Sat May 02 02:18:58 UTC 2026","","Header.spec.ts","",""
"","988","Playwright Document of right side bar Verify assertion link to be scrollable at writing tests sec","chromium","Sat May 02 02:18:42 UTC 2026","passed","Sat May 02 02:18:43 UTC 2026","","DocPage.spec.ts","",""
"","2799","iFrame practice1","chromium","Sat May 02 02:19:00 UTC 2026","passed","Sat May 02 02:19:03 UTC 2026","","iframe-test/IFrame.spec.ts","",""
"","1273","file download practice1","chromium","Sat May 02 02:18:46 UTC 2026","passed","Sat May 02 02:18:47 UTC 2026","","download-test/Download.spec.ts","",""
"","1861","Playwright Document of Left side bar Verify to work copy button at agent sec","chromium","Sat May 02 02:18:37 UTC 2026","passed","Sat May 02 02:18:39 UTC 2026","","DocPage.spec.ts","",""
